CharacteristicName,n_sites,n_records
Chlorophyll a,67764,1569247
Chlorophyll a (probe relative fluorescence),4579,1244152
Chlorophyll a (probe),2075,241228
Chlorophyll a - Phytoplankton (suspended),1114,4024
"Chlorophyll a, corrected for pheophytin",71427,861569
"Chlorophyll a, free of pheophytin",3394,89562
"Chlorophyll a, uncorrected for pheophytin",41516,524217
"Depth, Secchi disk depth",127079,2958220
"Depth, Secchi disk depth (choice list)",11669,54300
Organic carbon,122479,2673433
Secchi Reading Condition (choice list),126,2490
Total carbon,456,23699
"Water transparency, Secchi disc",22,844
