ResultAnalyticalMethod.MethodName,n
NA,43314706
Temperature,3448139
"Field measurement/observation, generic method",1512198
Temperature of Water by Thermometer,1347345
Operating the Seabird CTD,530374
"Temperature, water, thermistor",461537
FDEP FT1400,383384
"Sea-Bird Model SBE19 Conductivity, Temperature, and Depth Profiler",320119
Field Measurements performed by Utah DWQ,278756
Unknown or Unspecified Procedure,198363
OWRB Lakes Field Data Collection,179956
Field Measurement of Temperature,165474
WSSSOP,162064
UNKOWN,155363
SM2550B(2),87444
Not Available,80083
"2550 B ~ Temperature of Water, Laboratory and Field Methods",70677
MEASURED IN FIELD,66296
Hydrolab Quantas,63859
F03,60572
Temp,56145
FIELD MEASUREMENT OF TEMPERATURE,46906
170.1,44623
YSI 6-Series Multi-Parameter Sonde,39115
"Temperature, field",35967
FIELD,35317
Laboratory Procedures for Water Quality Chemical Analysis,33376
In Situ Profile,31494
Historic,30568
Daily Max,30370
IOWATER Chemical/Physical Assessment,27610
External files contain methodological data,27357
Unknown,26532
SFWMD FSQM,23974
Field Measurments,22917
Water Temperature with Pocket Thermometer,21964
OWRB-Routine,21745
AWW QAPP,21621
FT 1400 FIELD MEASUREMENT OF WATER TEMPERATURE,18340
SFWMD-FSM,18060
Water Quality Parameters by Onset Data Logger,17420
SM2550B(1),16896
Historic Procedure,16652
Field Measurements and Observations,16173
Northeast Temperate Network YSI600 Multiparameter Sonde,14269
Los Alamos Field Meters for Alaska NURE Monitoring,13856
Unknown Method or Procedure,13391
No information exists for method,13349
Field measurement of Temperature,12641
"Temperature, water, liq-in-glass",12533
General Listing of Field and Lab Analytical Procedures for Manatee County,12423
Field measurement of water quality parameters using in-situ probes,12396
YSI 6820 Multi-parameter Water Quality Sonde,11971
Continuous Temperature Readings Summary,11617
Multiprobe Field Analysis,11186
Dissolved Oxygen Using an ISE,11144
Multiparameter Water Quality Sonde,10761
MULTI-METER,10718
SFWMD-FSQM,10712
3.2 B ~ Coliforms in Seawater and Shellfish,9952
General Field Test,9824
YSI 6600 Data Sonde,9768
Legacy Guam EPA Analytical Procedures,9550
Hydrolab MiniSonde 4a or Hydrolab DataSonde 4a,9205
Hydrolab H2O,9162
Multiparameter Sonde,9053
YSI Model 33 Salinity-Conductivity-Temperature Meter,8564
UNKNOWN,8279
Field procedure or Not Specified,8221
Direct Measurement Method,8141
FIELD PARAMETERS,7795
F01,7242
ISU modification of APHA 2550,6929
ANL_MTHD,6726
Field Water Temperature DEP SOP FT 1400,6726
Measurements/readings obtained in the field,6304
Mid-Atlantic Network In-situ Water Quality,5398
Temperature by thermistor,5361
QA Plan #900456,5317
Mercury-filled dentigrade thermometer,5008
YSI Model 57 DO Meter,4945
temperature,4927
Field Measurement,4902
SEABIRD CAST,4601
Water temperature,4444
NCA Invertebrate Sediment Toxicity Analysis Method,4416
"Texas Commission on Environmental Quality, Temperature",4402
NCRN Core Water Parameters - YSI ProPlus,4202
TEMP-USGS,4198
YSI Professional Plus (Pro Plus) Multiparameter Instrument,4118
SM182550B,4080
"Temperature, water",3909
"YSI Model 63 pH, Conductivity, and Temperature Probe",3798
"Temperature, water, field (NYSC)",3623
"YSI Model 85 DO, Conductivity, Salinity, Temperature Instrument",3589
EPA 170.1,3248
YSI Temperature Sensor - Model Unknown,3237
Multiprobe Field Analysis with Eureka Manta MY939,3224
Multiprobe Field Analysis with Eureka Manta M09050132,3195
Multiprobe Field Analysis with YSI Model 6820,3147
Los Alamos Temperature Field Measurements,3059
"Temperature, Thermometric",2971
Horiba U-10 Water Quality Checker,2936
Multiprobe Field Analysis with Eureka Manta MY938,2911
Savannah River Meter Measurements in the Field from Samples,2896
LEGACY,2820
"Temperature, Water by FDEP Standards",2816
2540 D ~ Total Suspended Solids in Water,2793
Hydrolab Surveyor III,2706
YSI Model 51B Dissolved Oxygen Meter,2619
YSI EXO 1 multiparameter probe,2608
Lake Trafford,2531
Multiprobe Field Analysis with Eureka Manta MM775,2291
YSI Model 556 Multiprobe System,2178
Multiprobe Field Analysis with Eureka Manta MT01193603,2168
YSI 6600 multiparameter probe,1902
See QA Plan for this Project,1872
Corning Model 4 Temperature/pH Meter,1684
Field Measurement Of Temperature,1643
Field Measurement of Water Temperature by Thermometer,1611
YSI pH100,1608
CN_QAPP,1595
unknown analytical procedure,1557
"Salinity, Temperature, DO",1536
TEMP-001,1531
YSI Model 51B DO Meter,1501
FIELD TEST,1472
Field Measurement of Water Temperature,1452
T-generic,1445
General Water Quality Procedures,1432
Field Office procedures,1431
Hydrolab Quanta Model,1426
YSI Pro 2030 DO and Conductivity Instrument,1423
Northeast Temperate Network EXO1 Multiparameter Sonde,1402
Field Temperature,1379
"YSI Model 85 Handheld Oxygen, Conductivity, Salinity, and Temperature System",1360
Measurements collected according to Standard Operating Procedure,1357
"YSI Pro Plus Dissolved Oxygen, pH, Conductivity, and Temperature Probe",1339
HTLN_Sondes_Summary,1335
IT_QAPP,1257
Conductance,1250
DISSOLVED OXYGEN METER,1226
2320 B ~ Alkalinity by Gran Titration,1210
Multiprobe Field Analysis with Eureka Manta MM526,1145
Cheyenne River Sioux Tribe Quality Assurance Procedures,1128
pH,1118
Multiprobe Field Analysis with Eureka Manta M178,1091
YSI Professional Plus,1087
NCBN SOP 4 Spatial Water-Quality Monitoring with the YSI Sonde,1075
LAKE COUNTY QUALITY SYSTEMS MANUAL,1063
Multiprobe Field Analysis with Eureka Manta MT08193888,1038
Multiprobe Field Analysis with Eureka Manta MM774,998
YSI Model 556 Multiparameter Meter,997
MA Division of Marine Fisheries Stem Thermometers,961
Field Parameter,958
YSI Model 43TD Tele-Thermistor,945
FDEP Field Sampling Protocols,926
Field/Lab SOP IRLWQMN,864
YSI Model 63 Multi-Parameter Meter,816
Meteorological Data Aboard the R/V Lake Guardian,804
Multiprobe Field Analysis with Eureka Manta MM011,802
Southern Ute Tribe Standard Operating Procedures,794
Field Sampling Using the Rosette Sampler,777
Generic Probe,762
MULTIPROBE HYDROLAB FIELD MEASUREMENT,762
QAPP,726
9223 B ~ Enzyme substrate assay for measuring total coliforms and E. coli (ONPG-MUG test or CPRG-MUG test),720
Hawaii historic procedures for Legacy STORET,715
SM 4500 H-B,712
YSI Model 3800 Multi-Parameter Meter,711
Lower Brule Quality Assurance Project Plan,691
Orion Model 290A pH and Temperature Probe,642
"SOP Temperature, air",627
Oakton Water Temperature Sensor,605
Standard Operation Procedure,598
YSI Field Meter,596
EPA/620/R-01/003,592
SAR,589
Board Analyses,526
Onset Tidbit Temperature Data Logger,516
Hach Model 175 DO Meter,509
YSI ProDSS Multiparameter Digital Water Quality Meter,499
DEP STANDARD OPERATING PROCEDURES FOR FIELD ACTIVITIES,497
Multiprobe Field Analysis with Eureka Manta M080600318,487
CSU,482
YSI556 Multi-parameter Sonde,468
D888 B  ~ Dissolved Oxygen by Instrumental Probe,456
Multiprobe Field Analysis with YSI Model 6920,446
"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",435
2320 B ~ Alkalinity by Titration,427
Standard Methods for the Examination of Water and Wastewater,424
Color by Calculating ADMI Values,421
Dissolved Oxygen by WTW Oxi 340 Dissolved Oxygen Meter,412
NCRN Core Water data collection with YSI ProDSS,407
YSI EXO Multi-parameter Sonde,398
ISU modification of APHA 2510,390
USGS_UNKN,375
Temperature by Thermometer,374
Water Temperature Measured using a Standard Mercury Thermometer,374
Onset StowAway Temperature Data Logger,372
Multiprobe Field Analysis with YSI Model 650 MDS,363
SM2550B,361
2012 National Lakes Assessment Field Operations Manual,360
In-Situ TROLL 9000 Multi-Parameter Water Quality Monitor,359
Hydrolab MS5 Multiprobe with LDO Sensor,352
SIEN Probe,350
Field Measurements by Horiba U-22XD Multi-Parameter Water Quality Monitoring System,344
EPA 150.1,338
Probe or field meter,338
Eastern Rivers and Mountains Network YSI 556 MPS,334
Eastern Rivers and Mountains Network Eureka Manta+ Multiprobe Sonde,333
SM 2550B,327
Water Temp Field Measure,317
Portable YSI Meter-Unknown Model,311
Field methods for DEQ Water sampling,308
Water Temperature by Minimum and Maximum Thermometer,296
