ResultAnalyticalMethod.MethodName,SampleCollectionEquipmentName,n
NA,NA,28189490
NA,Water Sampler (Other),6019957
NA,Unknown,4875336
NA,Probe/Sensor,3730027
Temperature,Probe/Sensor,2577527
"Field measurement/observation, generic method",NA,1466162
Temperature of Water by Thermometer,NA,1008818
FDEP FT1400,Miscellaneous (Other),383384
Operating the Seabird CTD,Seabird CTD profiler,353749
Temperature,Miscellaneous (Other),323352
"Sea-Bird Model SBE19 Conductivity, Temperature, and Depth Profiler",NA,320119
Temperature,NA,308770
"Temperature, water, thermistor",Unknown,229323
Field Measurements performed by Utah DWQ,Miscellaneous (Other),207992
Unknown or Unspecified Procedure,NA,198014
Temperature of Water by Thermometer,Water Bottle,194592
OWRB Lakes Field Data Collection,NA,179952
Operating the Seabird CTD,Miscellaneous (Other),174476
Field Measurement of Temperature,NA,160168
Temperature,Water Bottle,157210
UNKOWN,Miscellaneous (Other),155348
WSSSOP,NA,141457
NA,WSWB,88291
SM2550B(2),Miscellaneous (Other),87444
Not Available,Water Bottle,80083
Temperature of Water by Thermometer,Water Sampler (Other),79777
Field Measurements performed by Utah DWQ,NA,70764
NA,Miscellaneous (Other),67865
MEASURED IN FIELD,Miscellaneous (Other),65284
Hydrolab Quantas,Water Bottle,62933
F03,Probe/Sensor,60572
Temp,Miscellaneous (Other),56145
Temperature,Bucket,48569
"Field measurement/observation, generic method",Water Bottle,46036
FIELD MEASUREMENT OF TEMPERATURE,NA,44998
NA,Water Bottle,43929
NA,Weighted-bottle sampler,43568
170.1,Probe/Sensor,42608
Temperature of Water by Thermometer,Probe/Sensor,41376
YSI 6-Series Multi-Parameter Sonde,NA,39115
NA,US DH-81,38210
"Temperature, water, thermistor",US DH-81,37726
"Temperature, water, thermistor",Weighted-bottle sampler,35768
FIELD,Miscellaneous (Other),34935
"Temperature, field",NA,33924
Laboratory Procedures for Water Quality Chemical Analysis,NA,33376
"Temperature, water, thermistor",Grab sample,32702
In Situ Profile,NA,31494
Historic,NA,30568
Daily Max,Probe/Sensor,30370
IOWATER Chemical/Physical Assessment,NA,27610
NA,Grab sample,27405
"2550 B ~ Temperature of Water, Laboratory and Field Methods",NA,27379
External files contain methodological data,Miscellaneous (Other),27357
"Temperature, water, thermistor",Open-Mouth Bottle,26126
NA,US DH-81 with Teflon cap and nozzle,24997
SFWMD FSQM,Miscellaneous (Other),23974
Field Measurments,NA,22917
NA,Other,22127
Water Temperature with Pocket Thermometer,NA,21964
"2550 B ~ Temperature of Water, Laboratory and Field Methods",Probe/Sensor,21833
AWW QAPP,Syringe,21621
WSSSOP,Water Sampler (Other),20607
FT 1400 FIELD MEASUREMENT OF WATER TEMPERATURE,NA,18340
SFWMD-FSM,Miscellaneous (Other),18060
Water Quality Parameters by Onset Data Logger,NA,17420
Temperature of Water by Thermometer,Bucket,17231
OWRB-Routine,Water Sampler (Other),17172
SM2550B(1),Miscellaneous (Other),16896
Historic Procedure,NA,16652
Temperature,Water Sampler (Other),16317
Field Measurements and Observations,NA,16173
"2550 B ~ Temperature of Water, Laboratory and Field Methods",Water Bottle,15349
Northeast Temperate Network YSI600 Multiparameter Sonde,Semipermeable Membrane Device,14248
Los Alamos Field Meters for Alaska NURE Monitoring,NA,13856
Unknown,NA,13481
Unknown Method or Procedure,NA,13294
General Listing of Field and Lab Analytical Procedures for Manatee County,NA,12423
Field measurement of water quality parameters using in-situ probes,Probe/Sensor,12395
Field measurement of Temperature,NA,12338
"Temperature, water, thermistor",US DH-81 with Teflon cap and nozzle,12017
YSI 6820 Multi-parameter Water Quality Sonde,NA,11971
Unknown,Miscellaneous (Other),11838
Continuous Temperature Readings Summary,Probe/Sensor,11617
No information exists for method,Unknown,11223
NA,"Sampler, US DH-48",11215
Multiprobe Field Analysis,NA,11186
"Temperature, water, thermistor",US WBH-96 weighted-bottle sampler,11002
Dissolved Oxygen Using an ISE,Water Sampler (Other),10954
SFWMD-FSQM,NA,10712
MULTI-METER,Miscellaneous (Other),10486
"Temperature, water, thermistor",US DH-95 plastic bottle,10378
3.2 B ~ Coliforms in Seawater and Shellfish,Water Bottle,9952
General Field Test,NA,9824
YSI 6600 Data Sonde,NA,9768
Legacy Guam EPA Analytical Procedures,Water Sampler (Other),9550
NA,Open-Mouth Bottle,9215
Hydrolab MiniSonde 4a or Hydrolab DataSonde 4a,NA,9205
Hydrolab H2O,NA,9162
Multiparameter Sonde,Probe/Sensor,9053
YSI Model 33 Salinity-Conductivity-Temperature Meter,NA,8564
NA,Pump/Submersible,8513
UNKNOWN,Miscellaneous (Other),8276
Multiparameter Water Quality Sonde,Probe/Sensor,8024
"Temperature, water, thermistor",US D-96 bag sampler,7967
FIELD PARAMETERS,Water Bottle,7795
NA,"Sampler, US P-61-A1",7377
NA,"Sampler, point, automatic",7362
"Temperature, water, thermistor","Sampler, point, automatic",7297
Temperature,Van Dorn Bottle,7282
F01,Probe/Sensor,7242
NA,US P-61,7008
Temperature,Kemmerer Bottle,6891
"Temperature, water, thermistor",US DH-95 Teflon bottle,6869
